"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1751",-0.0108956647067977,-2.21917598256185,0.0483152352806995,0.0745390992433446,100,"Simulation 3",1,100,0.492742,0.201550252991179,0.48935,0.49351875,0.19903905,0.002,0.9744,0.9724,-0.0113391082278139,-0.23415097427752,0.0201550252991179
"X1752",0.222703887406344,-2.67231462835901,0.050679531145494,0.0887268256890572,100,"Simulation 3",1,100,0.565927,0.181999142441647,0.5761,0.57182375,0.13209966,0.0693,0.9416,0.8723,-0.31810944569839,0.218118416458844,0.0181999142441647
"X1753",-0.00314078311728709,-2.27686065205748,0.0520868389842408,0.0821522217029458,100,"Simulation 3",1,100,0.504019,0.197147360511283,0.4772,0.50579875,0.19236735,0.008,0.9901,0.9821,-0.0900404011461865,-0.259610284257444,0.0197147360511283
"X1754",-0.0340058470911171,-2.62752148287225,0.0553531986827613,0.103046160119708,100,"Simulation 3",1,100,0.495858,0.176432595181345,0.50095,0.49121125,0.17598462,0.0245,0.9809,0.9564,0.156914634666361,0.0389516010694302,0.0176432595181345
"X1755",0.0503249857016875,-2.12456644502733,0.0518335520233689,0.0716325908710062,100,"Simulation 3",1,100,0.496896,0.218307564021705,0.47105,0.49756625,0.23536275,0.0139,0.9873,0.9734,-0.0350169967873013,-0.344748266971433,0.0218307564021705
"X1756",0.0491023461702692,-2.63617812312479,0.0395615220970725,0.0684937099394901,100,"Simulation 3",1,100,0.509057,0.197959790966231,0.49895,0.5061125,0.20808291,0.1025,0.9617,0.8592,0.138098223362232,-0.660926907457028,0.0197959790966231
"X1757",-0.0923358138937217,-2.23496369555133,0.0530835139438908,0.0814396196758898,100,"Simulation 3",1,100,0.486134,0.195693988191108,0.4808,0.49177125,0.17754135,0.0029,0.883,0.8801,-0.292156232815981,-0.160516717474463,0.0195693988191108
"X1758",-0.155099056671793,-2.445171032257,0.052682929925902,0.0901387789488913,100,"Simulation 3",1,100,0.437297,0.175371598805727,0.4386,0.44356,0.14358981,0.0238,0.9045,0.8807,-0.252626404409661,0.110017630444927,0.0175371598805727
"X1759",0.0467011996158387,-2.30207401399545,0.0379986225010158,0.0591323598880735,100,"Simulation 3",1,100,0.516634,0.210297243803896,0.523,0.51537625,0.22372434,0.0474,0.9838,0.9364,0.0502612798528036,-0.678939963066606,0.0210297243803896
"X1760",0.11479792555536,-2.64626218145257,0.0495100614951234,0.0881509458014868,100,"Simulation 3",1,100,0.54167,0.179660406648687,0.54745,0.538455,0.18562152,0.1521,0.9936,0.8415,0.175654055567814,-0.486128760360816,0.0179660406648687
