"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1338",-0.0225569559166269,-1.49085578538448,0.022705814729474,0.0383214420320786,99,"Simulation 3",1,99,0.510589898989899,0.205619438697799,0.519,0.51743950617284,0.19896492,0.0604,0.9027,0.8423,-0.310348660285394,-0.694014218352465,0.0206655311443661
"X1339",-0.0218008131752677,-1.54265303201343,0.0265468979921139,0.0399000455123287,100,"Simulation 3",1,100,0.45012,0.221356555463046,0.4251,0.4442075,0.24974397,0.0288,0.9185,0.8897,0.220139096821873,-0.95532166858923,0.0221356555463046
"X1340",0.0189932802012772,-1.53725692684436,0.0199173884884813,0.0322803851675509,100,"Simulation 3",1,100,0.49631,0.209434155656511,0.48055,0.49366625,0.23906925,0.0337,0.9251,0.8914,0.115179440032086,-0.725099707417501,0.0209434155656511
"X1341",0.0301508295124838,-1.55651546833311,0.0187128116177188,0.0282948802777203,100,"Simulation 3",1,100,0.47407,0.221227500025826,0.48875,0.4737275,0.24329466,0.0284,0.9134,0.885,-0.0288252107352,-0.871144864075694,0.0221227500025826
"X1342",0.0214757832952729,-1.53650923625295,0.0179487451726592,0.0258942755793045,100,"Simulation 3",1,100,0.495425,0.228245314764885,0.53115,0.5014875,0.24566682,0.0299,0.9563,0.9264,-0.22510557093336,-0.875483082222092,0.0228245314764885
"X1343",-0.011209660936818,-1.53488014365114,0.0292504618682608,0.0474015788975868,100,"Simulation 3",1,100,0.527312,0.213559407806414,0.54805,0.5286225,0.24826137,0.0613,0.897,0.8357,-0.100440187229421,-0.932878707788179,0.0213559407806414
"X1344",-0.0287115610131365,-1.49122513258945,0.0208132512782425,0.0280884712826896,100,"Simulation 3",1,100,0.494756,0.241464718680963,0.51465,0.49567,0.2920722,0.0283,0.9775,0.9492,-0.0548402294389117,-1.03953746755999,0.0241464718680963
"X1345",0.0149223827469318,-1.48472493977179,0.0218526623108913,0.0350908065940856,100,"Simulation 3",1,100,0.496185,0.216757588556825,0.5025,0.49586625,0.28124922,0.1079,0.9737,0.8658,0.0476927480923489,-1.06399375101416,0.0216757588556825
"X1346",0.0104576991578918,-1.56926386539518,0.0148273780567698,0.0254866984621213,100,"Simulation 3",1,100,0.522172,0.198050051361883,0.523,0.523125,0.22698606,0.0643,0.9666,0.9023,-0.0378163536244601,-0.608487613431519,0.0198050051361883
"X1347",-0.0186597368414232,-1.5215231913429,0.0279735406740318,0.0429214570075894,100,"Simulation 3",1,100,0.462781,0.216012883872675,0.44815,0.46061,0.24403596,0.037,0.9402,0.9032,0.149652381845537,-0.778470667745067,0.0216012883872675
"X1348",0.0233329629204662,-1.58566607347944,0.0255677582815131,0.0409986631760661,99,"Simulation 3",1,99,0.511627272727273,0.217207176009065,0.4736,0.50922962962963,0.24863202,0.11,0.933,0.823,0.162427511144063,-1.03862565209124,0.0218301425634774
"X1349",0.00908486641080513,-1.48332012013879,0.0164431244065423,0.0267305038086264,100,"Simulation 3",1,100,0.486029,0.214800178364108,0.47555,0.48526375,0.23462145,0.0911,0.9145,0.8234,0.0914366539464087,-0.94338316206588,0.0214800178364108
"X1350",-0.0325472887385709,-1.53406016535363,0.0191220715592947,0.0305696441509589,100,"Simulation 3",1,100,0.509015,0.217363368149123,0.4625,0.50590125,0.24470313,0.1073,0.9439,0.8366,0.15506094200946,-1.03932084418587,0.0217363368149123
"X1351",0.00404087361716946,-1.45322368061049,0.0172350546684438,0.0259469555224433,100,"Simulation 3",1,100,0.517981,0.217919462324034,0.51685,0.52024875,0.22335369,0.0551,0.977,0.9219,-0.0669535755018081,-0.649279767944263,0.0217919462324034
"X1352",0.0188209746446301,-1.57824045471135,0.0185355209058423,0.0305919059757392,100,"Simulation 3",1,100,0.449207,0.204554538061159,0.429,0.4381475,0.2394399,0.0784,0.9667,0.8883,0.362934182013205,-0.701045318075354,0.0204554538061159
"X1353",0.00970633847454537,-1.48258077475524,0.0261649797589399,0.0373147844166427,100,"Simulation 3",1,100,0.491827,0.232686507730461,0.49465,0.492975,0.24663051,0.0669,0.9702,0.9033,-0.0526732355123626,-0.89292415473213,0.0232686507730461
"X1354",-0.0163407124527823,-1.49466635770387,0.0218871020199113,0.0339858041741105,100,"Simulation 3",1,100,0.483841,0.221178002767185,0.487,0.48836375,0.24566682,0.0729,0.924,0.8511,-0.157009471583767,-1.01560023184833,0.0221178002767185
"X1355",0.0377690334741126,-1.505433786978,0.0158404637371383,0.0230788610084311,98,"Simulation 3",1,98,0.490720408163265,0.230815340553619,0.4741,0.49275625,0.28480746,0.0315,0.9502,0.9187,0.00461448169380563,-1.0562814414616,0.0233158703581924
"X1356",0.0011185306066428,-1.50457136260005,0.0158901733696848,0.0262264296612452,100,"Simulation 3",1,100,0.46653,0.205047958667077,0.4536,0.4650575,0.21438396,0.0401,0.9297,0.8896,0.130967053297061,-0.703031452080672,0.0205047958667077
"X1357",0.0136002479320088,-1.4685593907539,0.0202591421368058,0.0297645026026933,99,"Simulation 3",1,99,0.524806060606061,0.225205332076191,0.5133,0.525127160493827,0.26671974,0.0557,0.979,0.9233,-0.000762459357219843,-0.856010404282826,0.022633987493458
"X1358",-0.0127369144461696,-1.56261862960779,0.0215561346211566,0.0344828955519465,99,"Simulation 3",1,99,0.482753535353535,0.210117283727558,0.4766,0.477098765432099,0.20356098,0.0646,0.9366,0.872,0.195626548276922,-0.508835399279034,0.0211175815785745
"X1359",-0.0328376976943035,-1.49812153152882,0.0190361943395268,0.033586170245599,100,"Simulation 3",1,100,0.492209,0.20070754445967,0.5038,0.49350125,0.23254581,0.0691,0.9383,0.8692,-0.0852554526388448,-0.940975685270784,0.020070754445967
"X1360",-0.023101122784237,-1.56963910043864,0.0219876347801681,0.0344274107327517,98,"Simulation 3",1,98,0.474276530612245,0.218178767523672,0.49085,0.47231,0.26101173,0.0572,0.912,0.8548,0.0663739666854412,-0.926847626943778,0.0220393837181303
"X1361",-0.0137091387823021,-1.48269359083809,0.0179826737640097,0.0291896691476025,100,"Simulation 3",1,100,0.491451,0.213138437723827,0.46785,0.4853825,0.21935067,0.1327,0.953,0.8203,0.243250563838407,-0.85764094325164,0.0213138437723827
"X1362",-0.025202044149626,-1.49202431411703,0.0157518160026988,0.024216871440011,100,"Simulation 3",1,100,0.480537,0.219209148621571,0.4908,0.47546375,0.25508133,0.035,0.9496,0.9146,0.124475803295334,-0.827877825660014,0.0219209148621571
"X1363",0.00259049505242506,-1.50553116430488,0.0136024137302689,0.0289608027913222,100,"Simulation 3",1,100,0.480335,0.167739703578389,0.4741,0.47555375,0.15115107,0.083,0.8985,0.8155,0.235097619460982,-0.2190073847789,0.0167739703578389
"X1364",-0.00819627001179159,-1.51919918676686,0.0202026131589912,0.0314745173081931,100,"Simulation 3",1,100,0.501892,0.207427503061341,0.4948,0.495165,0.19533255,0.0635,0.9858,0.9223,0.212892390191446,-0.3049796150112,0.0207427503061341
"X1365",0.00300099891897118,-1.5313701892702,0.0228509083125728,0.0351608162986198,100,"Simulation 3",1,100,0.482671,0.220956841754633,0.44565,0.479975,0.24596334,0.0541,0.9648,0.9107,0.147953868381184,-0.946782225273568,0.0220956841754633
"X1366",-0.0173169562755482,-1.55048460577223,0.028016054462536,0.0463720352970173,100,"Simulation 3",1,100,0.507112,0.204498766033174,0.54275,0.5092725,0.22083327,0.0461,0.977,0.9309,-0.102213243861437,-0.665856294347336,0.0204498766033174
"X1367",0.0161037121907761,-1.49563377026275,0.0185283294109942,0.0318723236440875,100,"Simulation 3",1,100,0.497203,0.197405020483576,0.4696,0.48941375,0.20748987,0.0494,0.9664,0.917,0.304782469757402,-0.5018544538103,0.0197405020483576
"X1368",-0.0279182255224449,-1.50127475629997,0.0185948754344739,0.0278052668619705,100,"Simulation 3",1,100,0.509944,0.225622748208355,0.5052,0.51529,0.26879538,0.0337,0.9432,0.9095,-0.128684757937604,-0.907767083735902,0.0225622748208355
"X1369",-0.0103497152012766,-1.50069747175203,0.0220775527431997,0.0402385848694274,100,"Simulation 3",1,100,0.490101,0.191999647250833,0.5175,0.492705,0.18080307,0.0712,0.909,0.8378,-0.139513918119086,-0.57252073964639,0.0191999647250833
"X1370",0.00562456921331558,-1.53096901714853,0.0173408752658572,0.026564264300543,100,"Simulation 3",1,100,0.521193,0.221120576026801,0.5521,0.52013625,0.26634909,0.0635,0.96,0.8965,-0.0144876062176407,-0.95156444407436,0.0221120576026801
"X1371",-0.0149962580089133,-1.58925751786956,0.0168323728416379,0.0303303297979018,100,"Simulation 3",1,100,0.474176,0.188778258635186,0.46895,0.47456125,0.17376072,0.0548,0.9103,0.8555,-0.00305942188134049,-0.353140005802971,0.0188778258635186
"X1372",0.0200057058151209,-1.48584795951891,0.0183694129891181,0.0279313966309173,100,"Simulation 3",1,100,0.489126,0.222480544431429,0.4801,0.48249125,0.26153064,0.0818,0.9735,0.8917,0.221759091130284,-0.891028885626092,0.0222480544431429
"X1373",-0.00357554738062109,-1.50533794062234,0.0255904033670547,0.0396385045852375,100,"Simulation 3",1,100,0.533281,0.218775383032946,0.5541,0.5420075,0.24196032,0.0359,0.9199,0.884,-0.336462286259378,-0.791425635775201,0.0218775383032946
"X1374",0.0105750779492342,-1.55241759805343,0.0227550777851817,0.0378384441785472,100,"Simulation 3",1,100,0.497959,0.207686770803214,0.47125,0.4915375,0.22290891,0.0743,0.947,0.8727,0.231093514334503,-0.779562766994633,0.0207686770803214
"X1375",0.00191767401556662,-1.603548868631,0.022771997070793,0.0348791543096491,100,"Simulation 3",1,100,0.52545,0.215891031950768,0.5143,0.52497,0.23906925,0.0541,0.9584,0.9043,0.0050933574954247,-0.710051293852942,0.0215891031950768
"X1376",-0.00851171962827693,-1.51587278676999,0.0186466190354903,0.0280262199488358,100,"Simulation 3",1,100,0.513508,0.220041623555567,0.507,0.5111775,0.21208593,0.05,0.9651,0.9151,0.0726559169471658,-0.699157706716382,0.0220041623555567
"X1377",-0.0031790776201691,-1.52821730562895,0.0167947191217495,0.0284026675761552,100,"Simulation 3",1,100,0.512729,0.198393282661109,0.5269,0.5084525,0.2053401,0.0935,0.9638,0.8703,0.195332555093162,-0.46989144107654,0.0198393282661109
"X1378",-0.0141931058544109,-1.5833992209021,0.0184376470610436,0.0284545559522875,100,"Simulation 3",1,100,0.493939,0.222851850908929,0.4835,0.4875925,0.26516301,0.1024,0.9476,0.8452,0.199130698991754,-0.981003226755988,0.0222851850908929
"X1379",-0.0285401802852308,-1.61849316621621,0.0202829784903525,0.0363184162337863,99,"Simulation 3",1,99,0.481129292929293,0.198304510869339,0.481,0.479849382716049,0.2157183,0.0778,0.8972,0.8194,0.00757565046796117,-0.943549132502962,0.0199303532360167
