"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1315",0.0350773274180894,-1.48605396077914,0.0313730248921337,0.0425339630483108,100,"Simulation 2",1,100,0.523234,0.248591936622118,0.5344,0.5236175,0.30052302,0.0662,0.9316,0.8654,-0.0270142030786544,-1.23662880151218,0.0248591936622118
"X1316",-0.0121217856743387,-1.49346162412898,0.032954088072141,0.0423567315083954,100,"Simulation 2",1,100,0.49857,0.262857155777495,0.49995,0.49560875,0.36449721,0.0821,0.942,0.8599,0.0200735496628688,-1.37143389466571,0.0262857155777495
"X1317",0.0127232855103317,-1.53688746872819,0.0249596756556566,0.0359796500160528,100,"Simulation 2",1,100,0.448177,0.232325716520074,0.42905,0.43992875,0.28717962,0.0546,0.9235,0.8689,0.200726286846901,-1.10688615020717,0.0232325716520074
"X1318",0.0453530816525083,-1.59824120227284,0.0261404013706224,0.0364557968263307,100,"Simulation 2",1,100,0.484348,0.246390677903154,0.4773,0.48308125,0.35248815,0.0584,0.8985,0.8401,-0.0111631209691305,-1.31600141485433,0.0246390677903154
"X1319",-0.0139467562277843,-1.55409593935236,0.0199340425747296,0.0277183171218674,100,"Simulation 2",1,100,0.511866,0.246979252479951,0.5505,0.5108775,0.32965611,0.0878,0.9339,0.8461,-0.0189200164201425,-1.31229995980294,0.0246979252479951
"X1320",0.0243215954640002,-1.51256673611523,0.0230993940922158,0.0298865421149553,100,"Simulation 2",1,100,0.503667,0.263656643511361,0.52245,0.50110625,0.36590568,0.0944,0.9351,0.8407,0.0855531000604752,-1.4388247765592,0.0263656643511361
"X1321",-0.000857474541541103,-1.56377030644707,0.0227545598139408,0.0293913097086958,100,"Simulation 2",1,100,0.540873,0.261063445152609,0.5904,0.5495475,0.32513418,0.0919,0.9319,0.84,-0.221815395785066,-1.36389734420917,0.0261063445152609
"X1322",-0.00425340490017274,-1.50316776456784,0.0230927403757494,0.0316166814965522,100,"Simulation 2",1,100,0.482476,0.249009500901861,0.49265,0.48046125,0.31371816,0.0827,0.9229,0.8402,0.0318244890346286,-1.27934266277955,0.0249009500901861
"X1323",-0.0133290810506335,-1.50595049484578,0.0384901321034413,0.0548214089229163,100,"Simulation 2",1,100,0.521504,0.239602662638449,0.55085,0.53231625,0.29073786,0.0779,0.9157,0.8378,-0.323140152887983,-1.08361917565077,0.0239602662638449
"X1324",0.0113776414616492,-1.49249496077718,0.0237450954523903,0.0327364651024306,100,"Simulation 2",1,100,0.468739,0.248117348782117,0.42345,0.46371625,0.31342164,0.0853,0.9123,0.827,0.190642546440358,-1.28188797452842,0.0248117348782117
